"bl"	"bmi"	"bodyfat"	"bw"	"cir"	"di"	"fg"	"fg2hr"	"fi"	"hba1c"	"height"	"hip_f"	"hip_m"	"hip"	"hipadjbmi"	"homab"	"homair"	"incr30"	"ins30_bmi"	"isi"	"isibmi"	"leptin"	"proins"	"sat"	"urate"	"vat"	"wc_female"	"wc_male"	"wc"	"wcadjbmi"	"whr_f"	"whr_m"	"whr"	"whradjbmi"
"isibmi"	-0.164336073676042	0.00153339939835664	-0.0251200742194064	-0.0335985724731367	0.337357742259418	0.27008954157619	-0.371702302056463	-0.237766755035837	0.369308353462002	-0.245670876046894	-0.266151726859045	-0.0927640150172112	-0.0225477303067662	-0.0643293983234032	-0.150527511551961	0.421241443888207	0.178316352116862	0.303899421905467	0.337553513246745	-0.472404179736745	1	-0.11997604846723	-0.282334050547109	0.134832157869693	0.18164459688584	0.102188660186902	-0.0633718100356697	-0.0393532009198826	-0.0547771143061969	-0.182022401329284	-0.00919016169144763	-0.10602289373273	-0.0622522402709275	-0.077563864846515
"leptin"	-0.075044259731781	0.452536464169209	0.606399871902144	-0.0135926002529955	0.0283635603399932	-0.0292289178306879	0.0564944710173044	-0.298736961351743	0.194557649003385	-0.000853082934285602	0.127661680827573	0.484651209987878	0.469115568537381	0.509518618845491	0.282377270872295	0.170766389377692	0.237582076125885	0.135597424524436	0.173207921695104	0.20887486418955	-0.11997604846723	1	0.100294688933874	-0.19810297369182	-0.218936971839098	0.19159783020376	0.350329269704393	0.544881280761447	0.494690848250927	0.165142486032905	-0.039413693664876	0.543738350410119	0.253034366727062	-0.0567624607996625
"proins"	-0.00351868304060662	-0.0673282064967229	-0.0131399938642344	-0.134676621826738	-0.167193599120049	-0.232012095519842	0.247247688823997	0.245818833684831	0.0124638461234488	0.264384090338653	0.148674187257142	0.0186663536913926	-0.0798811450792592	-0.0260259120462124	0.0170329548921014	-0.136914331110478	0.116173319743744	-0.111409317889804	-0.0999232315457838	0.186786422709392	-0.282334050547109	0.100294688933874	1	-0.226867362013939	0.0416298279821464	0.188479469701601	0.0949493104844872	-0.0973554782330237	-0.0055771573335261	0.0812078849167103	0.127144656215967	-0.071525077504668	0.0577803566683839	0.102823200531489
"sat"	0.0215327765450028	0.132600817743283	0.000721560663534155	0.0598981741745468	0.205605940812033	0.182987227291609	-0.192528239365325	-0.188406757723339	0.111342864919934	-0.267228302401463	0.0833529748411248	0.0660846604738308	0.165986360589596	0.124222105590888	0.114410678109365	0.137604113721982	-0.0145483631303702	0.167382284967162	0.205780217380897	-0.168735781190637	0.134832157869693	-0.19810297369182	-0.226867362013939	1	-0.00262407582827823	-0.122629307493943	-0.0340123850055899	0.0270570677000511	-0.00117579431449205	-0.247842677618245	-0.190906469810537	-0.231968829187599	-0.27545932264935	-0.366825088536307
"urate"	-0.233706357156327	0.0628799961295132	-0.0601127471566284	-0.17163790215453	0.0664057235892007	0.00655765205659686	-0.203464331493937	0.245826217062039	0.0300401083076414	0.0154691359804272	-0.0345953229807379	0.113049071449834	0.0340907040519113	0.0784601232055518	0.0554587323987823	0.0949997365692993	-0.0476040041971766	0.159620530238853	0.151485600311421	-0.277147414382804	0.18164459688584	-0.218936971839098	0.0416298279821464	-0.00262407582827823	1	-0.11067883008689	0.186489602449362	0.0119767685015453	0.11797760106831	0.114031484513442	0.190988373086936	-0.0711327442087574	0.112107218805428	0.0844227171472607
"vat"	0.119018448787967	-0.124045910419361	-0.0025192336518437	0.0409006121940151	0.00198237721089278	-0.0842172015207004	0.0357513998482971	0.0121798442459842	0.16776348531929	-0.0874845475206272	-0.0264626139082732	-0.158807663220472	0.011095406461283	-0.0834503235396213	0.0335368831361605	0.125596282120475	0.211287055605611	0.118205147666869	0.0682227955637037	-0.132934527013339	0.102188660186902	0.19159783020376	0.188479469701601	-0.122629307493943	-0.11067883008689	1	-0.184967415199709	-0.0588652937990936	-0.136232339793155	-0.0635930099954679	-0.0879286372479498	-0.123684582949274	-0.128499364631705	-0.0707607617507621
"wc_female"	0.070754249248623	0.748966745182842	0.51375749046982	0.126558869823547	0.0354075821443556	-0.0131351153945074	-0.0536679543826251	-0.13091759803591	0.225962091936999	0.0171542384384502	0.272480794829618	0.769453711384049	0.501453958605592	0.698684199942303	0.212010797666501	0.242344830233847	0.289662879740358	0.0488759914893584	0.121206664491759	0.00896418192392432	-0.0633718100356697	0.350329269704393	0.0949493104844872	-0.0340123850055899	0.186489602449362	-0.184967415199709	1	0.615930254329597	0.901543033769203	0.51753815339095	0.606945491156608	0.566234415815391	0.75423663571599	0.31613655590543
"wc_male"	0.0740885376675611	0.849712585665267	0.760067009587545	0.164036389607908	0.152463507900962	0.120792769987208	-0.165177240376543	-0.44686786852084	0.260183456582451	-0.291533091977579	0.366971590665039	0.779525263131082	0.91878668793325	0.908227446615486	0.494838096645214	0.329612631709407	0.25518392268872	0.151739973716886	0.201378233339783	0.16322101413904	-0.0393532009198826	0.544881280761447	-0.0973554782330237	0.0270570677000511	0.0119767685015453	-0.0588652937990936	0.615930254329597	1	0.894864884448811	0.257130905264778	0.00683179161987242	0.797053633125021	0.406482744597534	-0.153017856335707
"wc"	0.0780680060022614	0.890281695334487	0.709468627000669	0.157089749536097	0.110558024524417	0.0660510170510283	-0.120167976673321	-0.318307032936288	0.267325648466589	-0.149098007512178	0.348583696526396	0.859850521359873	0.785859869003577	0.891637779712559	0.38821689987536	0.310660546745451	0.294212898213541	0.118152319564205	0.187412631016947	0.0943886208607059	-0.0547771143061969	0.494690848250927	-0.0055771573335261	-0.00117579431449205	0.11797760106831	-0.136232339793155	0.901543033769203	0.894864884448811	1	0.432269311577783	0.347512441453638	0.75546759504298	0.650147680117	0.0954999856740114
"wcadjbmi"	0.151583784676691	0.00486707594654581	0.0945503362031993	0.0949192397162647	-0.160713991919336	-0.268023780410601	0.123924213594585	0.151939842463024	0.0439827375756403	0.270065716464301	0.486661283966723	0.223976358402049	0.114051824833362	0.189216575289591	0.373269927563537	0.0460263926798952	0.231174675705738	-0.0279332340998302	-0.0562269336267992	0.00742021926659383	-0.182022401329284	0.165142486032905	0.0812078849167103	-0.247842677618245	0.114031484513442	-0.0635930099954679	0.51753815339095	0.257130905264778	0.432269311577783	1	0.540793138688555	0.419278941709142	0.640997005903465	0.706735911939955
"whr_f"	-0.0470783285878226	0.117733347008048	-0.109712509426229	-0.092113457643254	-0.210007653201955	-0.285791463615197	0.135635312403901	0.321491101817048	0.130133823913752	0.353465366594642	-0.019066170181147	-0.0183570678380643	-0.0939719679169752	-0.0513506474296942	-0.39873071563127	0.0201665300777842	0.213979208143682	-0.117586317134017	-0.129965033802939	-0.24016792706298	-0.00919016169144763	-0.039413693664876	0.127144656215967	-0.190906469810537	0.190988373086936	-0.0879286372479498	0.606945491156608	0.00683179161987242	0.347512441453638	0.540793138688555	1	0.175389736161203	0.862025839310187	0.837034337682436
"whr_m"	0.164658123379056	0.617295560117236	0.648639052060299	0.237595645726637	-0.0870209154554127	-0.0593801412959549	-0.0290837403662443	-0.233401085984988	0.0135083788664236	-0.0523301192879394	0.21076847206024	0.582146748291536	0.547079261032542	0.606361519073729	0.189824030814201	0.11454129306099	0.106628339947908	-0.0798779884970656	-0.0477001099671526	0.205732386084699	-0.10602289373273	0.543738350410119	-0.071525077504668	-0.231968829187599	-0.0711327442087574	-0.123684582949274	0.566234415815391	0.797053633125021	0.75546759504298	0.419278941709142	0.175389736161203	1	0.647036257426285	0.243100435146953
"whr"	0.0485230596875256	0.398360155415455	0.24537995794343	0.0482740565483774	-0.201336512788192	-0.246257807990016	0.0905440256158038	0.132823160626808	0.10691017459132	0.249043903945612	0.0878892912602766	0.277214065306632	0.195147170243604	0.261389858083331	-0.212535492534553	0.073906254669821	0.218205769399201	-0.124043740528477	-0.115398915233449	-0.0732475682304859	-0.0622522402709275	0.253034366727062	0.0577803566683839	-0.27545932264935	0.112107218805428	-0.128499364631705	0.75423663571599	0.406482744597534	0.650147680117	0.640997005903465	0.862025839310187	0.647036257426285	1	0.780528004495788
"whradjbmi"	0.00404617441369412	-0.238534354398861	-0.235280798898878	-0.0447515732122366	-0.324449912859603	-0.376426439640692	0.212636090987699	0.431635939700607	-0.0630838905717672	0.463840388641556	-0.00155404988349949	-0.261182879809822	-0.342188049624991	-0.319675010151441	-0.370485541343989	-0.124604202676024	0.0926923896691305	-0.205954772578251	-0.25232616015414	-0.138343441673909	-0.077563864846515	-0.0567624607996625	0.102823200531489	-0.366825088536307	0.0844227171472607	-0.0707607617507621	0.31613655590543	-0.153017856335707	0.0954999856740114	0.706735911939955	0.837034337682436	0.243100435146953	0.780528004495788	1
